hFund,hinvestor,hinvestment
563,563,563
563,563,590
563,563,590
563,563,592
563,563,592
563,563,596
563,563,596
563,563,600
563,563,600
563,563,606
563,563,606
563,563,609
563,563,609
563,563,619
563,563,619
563,563,666
563,563,666
563,563,671
563,563,671
563,563,695
563,563,695
563,563,696
563,563,696
563,563,722
563,563,722
563,563,751
563,563,751
563,563,826
563,563,826
563,563,834
563,563,834
563,563,914
563,563,914
563,563,921
563,563,921
563,563,936
563,563,936
563,563,938
563,563,938
563,563,953
563,563,953
563,563,959
563,563,959
563,592,593
563,592,593
563,592,667
563,592,667
563,592,769
563,592,769
563,592,795
563,592,795
563,592,842
563,592,842
563,593,597
563,593,597
563,593,597
563,593,597
563,596,593
563,596,593
563,597,725
563,597,725
563,597,725
563,597,725
563,600,601
563,600,601
563,600,602
563,600,602
563,601,602
563,601,602
563,602,603
563,602,603
563,602,603
563,602,603
563,603,727
563,603,727
563,603,727
563,603,727
563,606,608
563,606,608
563,607,729
563,607,729
563,608,607
563,608,607
563,609,611
563,609,611
563,610,728
563,610,728
563,611,610
563,611,610
563,667,693
563,667,693
563,667,693
563,667,693
563,671,667
563,671,667
563,693,85
563,693,85
563,693,85
563,693,85
563,693,86
563,693,86
563,693,86
563,693,86
563,693,87
563,693,87
563,693,87
563,693,87
563,693,88
563,693,88
563,693,88
563,693,88
563,693,89
563,693,89
563,693,89
563,693,89
563,693,90
563,693,90
563,693,90
563,693,90
563,693,91
563,693,91
563,693,91
563,693,91
563,693,92
563,693,92
563,693,92
563,693,92
563,693,93
563,693,93
563,693,93
563,693,93
563,693,94
563,693,94
563,693,94
563,693,94
563,695,696
563,695,696
563,696,762
563,696,762
563,696,762
563,696,762
563,696,763
563,696,763
563,696,763
563,696,763
563,722,724
563,722,724
563,722,752
563,722,752
563,724,731
563,724,731
563,731,730
563,731,730
563,752,754
563,752,754
563,754,755
563,754,755
563,760,758
563,760,758
563,760,758
563,760,758
563,761,759
563,761,759
563,761,759
563,761,759
563,762,760
563,762,760
563,762,760
563,762,760
563,763,761
563,763,761
563,763,761
563,763,761
563,769,800
563,769,800
563,795,798
563,795,798
563,798,771
563,798,771
563,800,802
563,800,802
563,831,830
563,831,830
563,832,831
563,832,831
563,834,832
563,834,832
563,839,838
563,839,838
563,840,839
563,840,839
563,842,840
563,842,840
563,911,916
563,911,916
563,911,916
563,911,916
563,912,911
563,912,911
563,912,911
563,912,911
563,914,912
563,914,912
563,921,912
563,921,912
563,933,930
563,933,930
563,933,930
563,933,930
563,933,931
563,933,931
563,933,931
563,933,931
563,934,933
563,934,933
563,934,933
563,934,933
563,936,934
563,936,934
563,938,934
563,938,934
563,953,972
563,953,972
563,953,972
563,953,972
563,959,970
563,959,970
563,970,953
563,970,953
563,972,952
563,972,952
563,972,952
563,972,952
563,972,955
563,972,955
563,972,955
563,972,955
563,972,956
563,972,956
563,972,956
563,972,956
563,972,957
563,972,957
563,972,957
563,972,957
